record,QBASE,weight,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13
1020,NATIONAL,1.627319,Scott,Haley,Pence,Hutchinson,Burgum,Youngkin,Christie,Hurd,Elder,DeSantis,Suarez,Ramaswamy,Trump
1022,NATIONAL,1.137748,DeSantis,Pence,Haley,Hutchinson,Scott,Christie,Elder,Suarez,Youngkin,Ramaswamy,Burgum,Hurd,Trump
1025,NATIONAL,1.000625,Christie,Ramaswamy,Haley,Scott,Elder,Youngkin,Suarez,Pence,Burgum,Hutchinson,Hurd,DeSantis,Trump
1026,NATIONAL,0.996977,Trump,DeSantis,Haley,Ramaswamy,Scott,Burgum,Youngkin,Elder,Hurd,Hutchinson,Suarez,Christie,Pence
1029,NATIONAL,1.221353,Trump,Scott,Haley,Elder,Burgum,Ramaswamy,Pence,DeSantis,Youngkin,Hutchinson,Hurd,Suarez,Christie
1030,NATIONAL,1.04502,Ramaswamy,DeSantis,Christie,Pence,Haley,Hutchinson,Scott,Youngkin,Burgum,Elder,Suarez,Trump,Hurd
1031,NATIONAL,1.669118,Trump,DeSantis,Youngkin,Pence,Hurd,Elder,Hutchinson,Suarez,Ramaswamy,Haley,Christie,Scott,Burgum
1032,NATIONAL,1.164009,Youngkin,Haley,Scott,Hutchinson,Burgum,Pence,Christie,DeSantis,Elder,Suarez,Hurd,Ramaswamy,Trump
1033,NATIONAL,2.040183,Christie,Scott,Pence,Hutchinson,Elder,Burgum,Haley,Youngkin,Hurd,DeSantis,Suarez,Ramaswamy,Trump
1034,NATIONAL,0.960016,Trump,Scott,Youngkin,Haley,DeSantis,Ramaswamy,Burgum,Suarez,Hurd,Elder,Pence,Hutchinson,Christie
1035,NATIONAL,0.960016,Ramaswamy,Haley,DeSantis,Scott,Christie,Pence,Elder,Burgum,Hutchinson,Suarez,Hurd,Youngkin,Trump
1036,NATIONAL,1.481912,Trump,Ramaswamy,Haley,Christie,DeSantis,Burgum,Pence,Scott,Suarez,Hurd,Youngkin,Elder,Hutchinson
1038,NATIONAL,2.220458,Trump,DeSantis,Haley,Ramaswamy,Elder,Scott,Pence,Youngkin,Burgum,Hurd,Suarez,Hutchinson,Christie
1039,NATIONAL,1.079307,Trump,Ramaswamy,DeSantis,Haley,Youngkin,Christie,Scott,Pence,Burgum,Elder,Suarez,Hurd,Hutchinson
1040,NATIONAL,0.819929,DeSantis,Trump,Pence,Ramaswamy,Elder,Burgum,Youngkin,Hutchinson,Scott,Hurd,Haley,Suarez,Christie
1041,NATIONAL,1.826138,Trump,Ramaswamy,Elder,DeSantis,Youngkin,Burgum,Suarez,Christie,Haley,Hurd,Hutchinson,Scott,Pence
1042,NATIONAL,1.481912,Trump,DeSantis,Burgum,Haley,Scott,Youngkin,Elder,Hurd,Suarez,Hutchinson,Ramaswamy,Christie,Pence
1043,NATIONAL,2.313415,Trump,DeSantis,Ramaswamy,Burgum,Haley,Hutchinson,Scott,Youngkin,Pence,Hurd,Suarez,Elder,Christie
1044,NATIONAL,0.972281,Trump,DeSantis,Ramaswamy,Scott,Pence,Elder,Suarez,Burgum,Youngkin,Hutchinson,Hurd,Haley,Christie
1046,NATIONAL,1.033456,Haley,DeSantis,Scott,Ramaswamy,Pence,Christie,Trump,Elder,Hutchinson,Burgum,Hurd,Youngkin,Suarez
1049,NATIONAL,0.762857,Trump,DeSantis,Ramaswamy,Pence,Christie,Haley,Burgum,Scott,Hutchinson,Hurd,Elder,Youngkin,Suarez
1050,NATIONAL,1.180031,Trump,DeSantis,Ramaswamy,Pence,Christie,Scott,Elder,Hutchinson,Hurd,Haley,Burgum,Suarez,Youngkin
1051,NATIONAL,1.312363,Trump,DeSantis,Haley,Pence,Ramaswamy,Scott,Youngkin,Elder,Hutchinson,Burgum,Hurd,Suarez,Christie
1052,NATIONAL,2.132521,Christie,Hutchinson,Haley,Pence,Hurd,Elder,Suarez,Burgum,Youngkin,Scott,Ramaswamy,DeSantis,Trump
1055,NATIONAL,0.972281,Hurd,Burgum,Hutchinson,Youngkin,Haley,Elder,Christie,Pence,DeSantis,Ramaswamy,Scott,Suarez,Trump
1056,NATIONAL,1.218747,DeSantis,Trump,Pence,Ramaswamy,Burgum,Christie,Haley,Scott,Elder,Youngkin,Hurd,Hutchinson,Suarez
1057,NATIONAL,1.000625,Hutchinson,Hurd,Scott,Christie,Pence,Burgum,Haley,Youngkin,Elder,Suarez,Ramaswamy,DeSantis,Trump
1058,NATIONAL,1.270672,Trump,DeSantis,Ramaswamy,Christie,Pence,Haley,Scott,Hutchinson,Elder,Youngkin,Suarez,Hurd,Burgum
1059,NATIONAL,1.376055,Trump,Ramaswamy,Pence,Haley,Elder,Youngkin,DeSantis,Scott,Hurd,Hutchinson,Suarez,Burgum,Christie
1060,NATIONAL,0.996977,Trump,Christie,Haley,Scott,DeSantis,Elder,Suarez,Hurd,Hutchinson,Youngkin,Burgum,Ramaswamy,Pence
1062,NATIONAL,1.048733,Trump,DeSantis,Christie,Haley,Scott,Ramaswamy,Youngkin,Hutchinson,Burgum,Elder,Hurd,Suarez,Pence
1063,NATIONAL,1.73441,Pence,DeSantis,Christie,Burgum,Youngkin,Scott,Hurd,Suarez,Haley,Elder,Ramaswamy,Trump,Hutchinson
1064,NATIONAL,1.166972,Ramaswamy,DeSantis,Haley,Pence,Hutchinson,Elder,Suarez,Hurd,Burgum,Scott,Youngkin,Christie,Trump
1065,NATIONAL,1.218747,Trump,DeSantis,Burgum,Scott,Haley,Ramaswamy,Youngkin,Elder,Suarez,Hutchinson,Hurd,Pence,Christie
1067,NATIONAL,0.886527,Trump,Pence,Christie,Haley,DeSantis,Scott,Youngkin,Hurd,Elder,Burgum,Hutchinson,Ramaswamy,Suarez
1069,NATIONAL,2.202489,Haley,Christie,Hutchinson,Scott,Hurd,Youngkin,Burgum,Suarez,Elder,Pence,Ramaswamy,DeSantis,Trump
1070,NATIONAL,1.207837,Pence,Scott,Burgum,Hurd,Ramaswamy,Youngkin,Hutchinson,Suarez,Elder,Haley,Christie,DeSantis,Trump
1071,NATIONAL,0.968735,Trump,DeSantis,Ramaswamy,Hutchinson,Burgum,Hurd,Scott,Elder,Youngkin,Haley,Suarez,Christie,Pence
1072,NATIONAL,0.996977,Trump,DeSantis,Haley,Ramaswamy,Burgum,Hutchinson,Suarez,Elder,Pence,Hurd,Christie,Scott,Youngkin
1073,NATIONAL,1.271577,DeSantis,Ramaswamy,Trump,Haley,Scott,Pence,Hutchinson,Burgum,Youngkin,Elder,Suarez,Christie,Hurd
1075,NATIONAL,0.785097,Trump,Ramaswamy,DeSantis,Youngkin,Haley,Hutchinson,Elder,Scott,Hurd,Burgum,Pence,Christie,Suarez
1076,NATIONAL,1.278271,DeSantis,Scott,Trump,Ramaswamy,Haley,Pence,Hutchinson,Elder,Hurd,Suarez,Youngkin,Burgum,Christie
1077,NATIONAL,1.134561,DeSantis,Trump,Ramaswamy,Haley,Elder,Pence,Scott,Christie,Burgum,Hutchinson,Youngkin,Hurd,Suarez
1078,NATIONAL,1.478149,Ramaswamy,Pence,DeSantis,Scott,Haley,Hurd,Burgum,Suarez,Elder,Hutchinson,Youngkin,Christie,Trump
